2026-03-11 10:59:01 | Candidat ID: 1 | Session: 1 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-11 11:02:52 | Candidat ID: 15 | Session: 4 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-11 11:05:51 | Candidat ID: 2 | Session: 1 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-11 11:07:32 | Candidat ID: 2 | Session: 1 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-11 11:07:43 | Candidat ID: 2 | Session: 1 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 3
2026-03-11 11:09:30 | Candidat ID: 11 | Session: 1 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-11 12:49:42 | Candidat ID: 3 | Session: 1 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-11 12:49:51 | Candidat ID: 3 | Session: 1 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-11 15:21:11 | Candidat ID: 18 | Session: 11 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-11 15:21:28 | Candidat ID: 18 | Session: 11 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-11 15:25:55 | Candidat ID: 19 | Session: 11 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 1
2026-03-11 15:26:24 | Candidat ID: 19 | Session: 11 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 2
2026-03-11 15:26:35 | Candidat ID: 19 | Session: 11 | Action: Non-respect des consignes - Clic droit interdit | Total infractions: 3
2026-03-11 16:07:15 | Candidat ID: 19 | Session: 1 | Action: Non-respect des consignes - Sortie de la fenêtre d'examen | Total infractions: 1
